Rk,G,Date,Age,Tm,HOME,OPP,TOV,DRB,ORB,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,PF,PTS,GmSc,+/-,WIN
66,50,2022-03-09,23-009,DAL,0,NYK,2,3,3,1,34:02,12,25,0.48,3,11,0.273,4,7,0.571,6,4,1,1,3,31,21.4,-19,0
67,51,2022-03-11,23-011,DAL,1,HOU,5,13,1,1,35:42,9,19,0.474,5,11,0.455,7,10,0.7,14,6,0,2,1,30,23.9,16,1
68,52,2022-03-13,23-013,DAL,1,BOS,5,8,0,1,38:41,8,16,0.5,4,10,0.4,6,6,1.0,8,8,3,0,0,26,24.0,7,1
69,53,2022-03-16,23-016,DAL,1,BRK,4,9,0,1,38:46,14,26,0.538,5,12,0.417,4,4,1.0,9,9,2,1,2,37,31.3,-4,1
70,54,2022-03-18,23-018,DAL,1,PHI,6,6,1,1,34:55,5,20,0.25,2,10,0.2,5,9,0.556,7,10,0,1,0,17,7.6,-15,0
71,55,2022-03-19,23-019,DAL,1,CHO,4,4,0,1,29:52,13,20,0.65,8,12,0.667,3,5,0.6,4,3,0,0,2,37,25.9,-30,0
72,56,2022-03-21,23-021,DAL,0,MIN,8,6,0,1,37:49,5,17,0.294,3,11,0.273,2,4,0.5,6,10,1,0,4,15,4.5,-7,1
74,57,2022-03-25,23-025,DAL,1,MIN,3,10,0,1,36:41,8,18,0.444,5,11,0.455,3,5,0.6,10,8,1,0,0,24,20.4,-22,0
75,58,2022-03-27,23-027,DAL,0,UTA,3,9,1,1,32:42,11,21,0.524,4,7,0.571,6,9,0.667,10,5,0,0,3,32,23.2,9,1
76,59,2022-03-29,23-029,DAL,0,LAL,1,9,3,1,29:39,12,23,0.522,4,12,0.333,6,7,0.857,12,12,1,0,1,34,35.1,21,1
77,60,2022-03-30,23-030,DAL,1,CLE,3,9,0,1,37:50,14,26,0.538,3,6,0.5,4,4,1.0,9,13,1,2,1,35,33.2,14,1
78,61,2022-04-01,23-032,DAL,1,WAS,5,7,0,1,36:17,11,22,0.5,4,9,0.444,10,10,1.0,7,6,0,1,3,36,25.8,-22,0
79,62,2022-04-03,23-034,DAL,1,MIL,6,8,0,1,39:04,9,22,0.409,3,9,0.333,11,14,0.786,8,15,3,0,2,32,28.1,8,1
80,63,2022-04-06,23-037,DAL,1,DET,6,7,1,1,33:57,8,21,0.381,2,11,0.182,8,13,0.615,8,14,1,0,4,26,18.5,17,1
81,64,2022-04-08,23-039,DAL,0,POR,5,11,0,1,29:36,12,21,0.571,7,14,0.5,8,11,0.727,11,7,0,1,0,39,31.8,41,1
82,65,2022-04-10,23-041,DAL,0,SAS,4,7,1,1,28:45,8,18,0.444,2,5,0.4,8,8,1.0,8,9,2,1,1,26,24.0,19,1
1,1,2022-10-19,23-233,DAL,1,PHO,4,9,0,1,36:40,10,23,0.435,2,10,0.2,13,13,1.0,9,6,1,0,3,35,25.6,-16,0
2,2,2022-10-22,23-236,DAL,0,MEM,3,5,2,1,29:58,12,23,0.522,4,9,0.444,4,5,0.8,7,10,2,2,2,32,29.8,31,1
3,3,2022-10-25,23-239,DAL,1,NOP,3,8,3,1,36:19,16,30,0.533,2,13,0.154,3,5,0.6,11,7,2,1,3,37,29.5,6,0
4,4,2022-10-27,23-241,DAL,1,BRK,5,10,1,1,40:30,14,28,0.5,2,6,0.333,11,13,0.846,11,14,3,0,2,41,36.9,20,1
5,5,2022-10-29,23-243,DAL,0,OKC,3,14,2,1,40:00,8,23,0.348,0,6,0.0,15,19,0.789,16,10,1,0,6,31,24.7,-25,0
6,6,2022-10-30,23-244,DAL,0,ORL,0,3,0,1,36:55,17,26,0.654,2,9,0.222,8,14,0.571,3,5,1,0,3,44,34.4,13,1
7,7,2022-11-02,23-247,DAL,0,UTA,5,5,0,1,35:28,12,20,0.6,2,6,0.333,7,10,0.7,5,11,2,0,3,33,27.6,-3,1
8,8,2022-11-04,23-249,DAL,0,TOR,4,7,1,1,36:33,10,15,0.667,3,6,0.5,12,14,0.857,8,6,3,1,4,35,32.8,8,1
9,9,2022-11-07,23-252,DAL,0,BRK,5,6,0,1,38:25,11,22,0.5,5,9,0.556,9,12,0.75,6,6,2,1,5,36,25.5,1,1
10,10,2022-11-09,23-254,DAL,1,ORL,0,6,0,1,35:25,9,29,0.31,2,11,0.182,4,7,0.571,6,6,3,2,3,24,15.3,-3,0
11,11,2022-11-10,23-255,DAL,1,WAS,5,9,0,1,39:10,8,21,0.381,3,8,0.375,3,9,0.333,9,6,2,0,2,22,11.2,-6,0
