Rk,G,Date,Age,Tm,HOME,OPP,TOV,DRB,R,ORB,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,PF,PTS,GmSc,+/-
34,30,2020-01-02,20-308,DAL,,BRK,4,9,W (+12),4,1,34:00,9,18,.500,5,8,.625,8,9,.889,13,7,0,1,4,31,27.1,+16
35,31,2020-01-04,20-310,DAL,,CHO,5,10,L (-3),2,1,43:02,14,32,.438,5,15,.333,6,6,1.000,12,10,2,0,4,39,29.0,-5
36,32,2020-01-06,20-312,DAL,,CHI,3,10,W (+8),1,1,34:22,14,24,.583,5,10,.500,5,9,.556,11,10,0,1,2,38,32.8,+8
37,33,2020-01-08,20-314,DAL,,DEN,6,7,L (-1),2,1,37:18,11,24,.458,1,7,.143,4,6,.667,9,10,0,0,2,27,17.5,+7
38,34,2020-01-10,20-316,DAL,,LAL,6,8,L (-15),2,1,32:04,8,19,.421,1,5,.200,8,13,.615,10,7,0,0,3,25,14.4,-13
39,35,2020-01-11,20-317,DAL,,PHI,5,7,W (+18),1,1,32:57,4,15,.267,1,3,.333,10,12,.833,8,12,0,0,3,19,14.3,+18
40,36,2020-01-14,20-320,DAL,@,GSW,3,7,W (+27),1,1,27:01,8,19,.421,2,9,.222,2,8,.250,8,2,1,0,3,20,8.5,+13
41,37,2020-01-15,20-321,DAL,@,SAC,6,15,W (+4),0,1,34:07,8,18,.444,0,5,.000,9,10,.900,15,17,0,0,3,25,24.4,+9
42,38,2020-01-17,20-323,DAL,,POR,3,6,W (+8),2,1,34:00,11,23,.478,8,12,.667,5,8,.625,8,7,1,0,2,35,27.4,+6
43,39,2020-01-21,20-327,DAL,,LAC,4,8,L (-3),2,1,35:11,12,26,.462,3,12,.250,9,14,.643,10,9,0,2,3,36,26.9,-6
44,40,2020-01-23,20-329,DAL,@,POR,3,5,W (+8),1,1,34:40,11,25,.440,2,11,.182,3,6,.500,6,9,2,0,4,27,18.6,+1
45,41,2020-01-25,20-331,DAL,@,UTA,4,6,L (-5),0,1,36:19,11,25,.440,2,10,.200,1,5,.200,6,7,2,0,2,25,14.2,0
46,42,2020-01-27,20-333,DAL,@,OKC,0,9,W (+10),2,1,33:16,10,24,.417,5,12,.417,4,7,.571,11,5,0,0,2,29,21.8,0
47,43,2020-01-28,20-334,DAL,,PHO,4,5,L (-29),1,1,25:15,7,15,.467,1,4,.250,6,7,.857,6,2,1,0,2,21,12.7,-26
55,44,2020-02-12,20-349,DAL,,SAC,4,11,W (+19),1,1,31:16,10,18,.556,3,7,.429,10,12,.833,12,8,0,0,3,33,28.0,+30
